"Human blood","Human skin"
NA,"GO:0044260"
NA,"GO:0045934"
NA,"GO:0010604"
NA,"GO:0007049"
NA,"GO:0009628"
NA,"GO:0031328"
NA,"GO:0022402"
NA,"GO:0080134"
NA,"GO:0032270"
NA,"GO:0009891"
NA,"GO:0051247"
NA,"GO:0044249"
NA,"GO:0031325"
NA,"GO:0051726"
NA,"GO:0051253"
NA,"GO:0045944"
NA,"GO:0019219"
NA,"GO:0043170"
NA,"GO:0006996"
NA,"GO:0032268"
NA,"GO:0044238"
NA,"GO:0043933"
NA,"GO:0051252"
NA,"GO:0044267"
NA,"GO:0006807"
NA,"GO:0051246"
NA,"GO:0044281"
NA,"GO:2000112"
NA,"GO:0009893"
NA,"GO:0010556"
NA,"GO:0009889"
NA,"GO:0051128"
NA,"GO:0080090"
NA,"GO:0031326"
NA,"GO:2000113"
NA,"GO:0071704"
NA,"GO:0044237"
NA,"GO:0031323"
NA,"GO:0010558"
NA,"GO:0031327"
NA,"GO:0051171"
NA,"GO:2001141"
NA,"GO:0010468"
NA,"GO:0006355"
NA,"GO:1903506"
NA,"GO:0033036"
NA,"GO:0031324"
NA,"GO:0006357"
NA,"GO:0019222"
NA,"GO:0008152"
NA,"GO:0044085"
NA,"GO:0019538"
NA,"GO:0060255"
NA,"GO:0051172"
NA,"GO:0009892"
NA,"GO:0022607"
NA,"GO:0010605"
NA,"GO:0006950"
NA,"GO:1901564"
NA,"GO:0048522"
NA,"GO:0048518"
NA,"GO:0016043"
NA,"GO:0071840"
NA,"GO:0048519"
